schedule,seed,block,temperature,eave,final_energy,escaped
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,1,100,49.7801033063,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,2,90,46.5015042265,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,3,81,39.3653785407,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,4,72.9,40.050516699,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,5,65.61,39.6605297804,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,6,59.049,41.3212414262,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,7,53.1441,42.488487874,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,8,47.82969,43.5257494145,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,9,43.046721,41.8324523468,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,10,38.7420489,51.03627541,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,11,34.86784401,44.1354696763,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,12,31.381059609,46.0336018135,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,13,28.2429536481,44.9766251605,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,14,25.4186582833,47.0360893506,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,15,22.876792455,44.1689852635,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,16,20.5891132095,45.1117071576,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,17,18.5302018885,43.9221727447,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,18,16.6771816997,32.9679232062,16.7042171298,0
"L. Bombelli & D. Meyer defaults: T0=100, alpha=0.9",1959,19,15.0094635297,40.3237398916,16.7042171298,0
